Country,Year,Life,Population,GDP,Region
Afghanistan,1964,33.639,10474903,1182,South Asia
Afghanistan,1965,34.152,10697983,1182,South Asia
Afghanistan,1966,34.662,10927724,1168,South Asia
Afghanistan,1967,35.17,11163656,1173,South Asia
Afghanistan,1968,35.674,11411022,1187,South Asia
Afghanistan,1969,36.172,11676990,1178,South Asia
Afghanistan,1970,36.663,11964906,1174,South Asia
Afghanistan,1971,37.143,12273101,1092,South Asia
Afghanistan,1972,37.614,12593688,1046,South Asia
Afghanistan,1973,38.075,12915499,1137,South Asia
Afghanistan,1974,38.529,13223928,1170,South Asia
Afghanistan,1975,38.977,13505544,1201,South Asia
Afghanistan,1976,39.417,13766792,1231,South Asia
Afghanistan,1977,39.855,14003408,1119,South Asia
Afghanistan,1978,40.298,14179656,1179,South Asia
Afghanistan,1979,40.756,14249493,1155,South Asia
Afghanistan,1980,41.242,14185729,1158,South Asia
Afghanistan,1981,41.77,13984092,1284,South Asia
Afghanistan,1982,42.347,13672870,1402,South Asia
Afghanistan,1983,42.977,13300056,1454,South Asia
Afghanistan,1984,43.661,12931791,1429,South Asia
Afghanistan,1985,44.4,12625292,1384,South Asia
Afghanistan,1986,45.192,12372113,1486,South Asia
Afghanistan,1987,46.024,12183387,1230,South Asia
Afghanistan,1988,46.88,12156685,1113,South Asia
Afghanistan,1989,47.744,12414686,1087,South Asia
Afghanistan,1990,48.601,13032161,1028,South Asia
Afghanistan,1991,49.439,14069854,1022,South Asia
Afghanistan,1992,50.247,15472076,941,South Asia
Afghanistan,1993,51.017,17053213,810,South Asia
Afghanistan,1994,51.738,18553819,725,South Asia
Afghanistan,1995,52.4,19789880,872,South Asia
Afghanistan,1996,52.995,20684982,895,South Asia
Afghanistan,1997,53.527,21299350,921,South Asia
Afghanistan,1998,54.009,21752257,947,South Asia
Afghanistan,1999,54.449,22227543,972,South Asia
Afghanistan,2000,54.863,22856302,962,South Asia
Afghanistan,2001,55.271,23677385,862,South Asia
Afghanistan,2002,55.687,24639841,1053,South Asia
Afghanistan,2003,56.122,25678639,1097,South Asia
Afghanistan,2004,56.583,26693486,1067,South Asia
Afghanistan,2005,57.071,27614718,1146,South Asia
Afghanistan,2006,57.582,28420974,1173,South Asia
Afghanistan,2007,58.102,29145841,1298,South Asia
Afghanistan,2008,58.618,29839994,1311,South Asia
Afghanistan,2009,59.124,30577756,1548,South Asia
Afghanistan,2010,59.612,31411743,1637,South Asia
Afghanistan,2011,60.079,32358260,1695,South Asia
Afghanistan,2012,60.524,33397058,1893,South Asia
Afghanistan,2013,60.947,34499915,1884,South Asia
Albania,1964,65.475,1817098,3023,Europe & Central Asia
Albania,1965,65.863,1869942,3129,Europe & Central Asia
Albania,1966,66.122,1922993,3242,Europe & Central Asia
Albania,1967,66.316,1976140,3359,Europe & Central Asia
Albania,1968,66.5,2029314,3475,Europe & Central Asia
Albania,1969,66.702,2082474,3587,Europe & Central Asia
Albania,1970,66.948,2135599,3712,Europe & Central Asia
Albania,1971,67.251,2188650,3849,Europe & Central Asia
Albania,1972,67.595,2241623,3988,Europe & Central Asia
Albania,1973,67.966,2294578,4174,Europe & Central Asia
Albania,1974,68.356,2347607,4177,Europe & Central Asia
Albania,1975,68.748,2400801,4178,Europe & Central Asia
Albania,1976,69.121,2454255,4182,Europe & Central Asia
Albania,1977,69.459,2508026,4188,Europe & Central Asia
Albania,1978,69.753,2562121,4194,Europe & Central Asia
Albania,1979,70.001,2616530,4201,Europe & Central Asia
Albania,1980,70.218,2671300,4218,Europe & Central Asia
Albania,1981,70.426,2725029,4227,Europe & Central Asia
Albania,1982,70.646,2777592,4237,Europe & Central Asia
Albania,1983,70.886,2831682,4248,Europe & Central Asia
Albania,1984,71.144,2891004,4259,Europe & Central Asia
Albania,1985,71.398,2957390,4267,Europe & Central Asia
Albania,1986,71.615,3033393,4281,Europe & Central Asia
Albania,1987,71.77,3116009,4294,Europe & Central Asia
Albania,1988,71.853,3194854,4307,Europe & Central Asia
Albania,1989,71.87,3255859,4325,Europe & Central Asia
Albania,1990,71.842,3289483,4350,Europe & Central Asia
Albania,1991,71.799,3291695,3081,Europe & Central Asia
Albania,1992,71.779,3266983,2877,Europe & Central Asia
Albania,1993,71.813,3224901,3172,Europe & Central Asia
Albania,1994,71.92,3179442,3457,Europe & Central Asia
Albania,1995,72.117,3141102,3941,Europe & Central Asia
Albania,1996,72.415,3112597,4326,Europe & Central Asia
Albania,1997,72.796,3091902,3909,Europe & Central Asia
Albania,1998,73.235,3079037,4434,Europe & Central Asia
Albania,1999,73.713,3072725,4912,Europe & Central Asia
Albania,2000,74.2,3071856,5305,Europe & Central Asia
Albania,2001,74.664,3077378,5730,Europe & Central Asia
Albania,2002,75.081,3089778,5913,Europe & Central Asia
Albania,2003,75.437,3106701,6274,Europe & Central Asia
Albania,2004,75.725,3124861,6672,Europe & Central Asia
Albania,2005,75.949,3141800,7075,Europe & Central Asia
Albania,2006,76.124,3156607,7476,Europe & Central Asia
Albania,2007,76.278,3169665,7977,Europe & Central Asia
Albania,2008,76.433,3181397,8644,Europe & Central Asia
Albania,2009,76.598,3192723,8994,Europe & Central Asia
Albania,2010,76.78,3204284,9374,Europe & Central Asia
Albania,2011,76.979,3215988,9640,Europe & Central Asia
Albania,2012,77.185,3227373,9811,Europe & Central Asia
Albania,2013,77.392,3238316,9961,Europe & Central Asia
Algeria,1964,47.953,11654905,5693,Middle East & North Africa
Algeria,1965,48.389,11923002,5916,Middle East & North Africa
Algeria,1966,48.806,12229853,5478,Middle East & North Africa
Algeria,1967,49.205,12572629,5811,Middle East & North Africa
Algeria,1968,49.592,12945462,6319,Middle East & North Africa
Algeria,1969,49.976,13338918,6747,Middle East & North Africa
Algeria,1970,50.366,13746185,7227,Middle East & North Africa
Algeria,1971,50.767,14165889,6427,Middle East & North Africa
Algeria,1972,51.195,14600659,7556,Middle East & North Africa
Algeria,1973,51.67,15052371,7581,Middle East & North Africa
Algeria,1974,52.213,15524137,7812,Middle East & North Africa
Algeria,1975,52.861,16018195,8119,Middle East & North Africa
Algeria,1976,53.656,16533323,8400,Middle East & North Africa
Algeria,1977,54.605,17068212,8888,Middle East & North Africa
Algeria,1978,55.697,17624756,9730,Middle East & North Africa
Algeria,1979,56.907,18205468,10293,Middle East & North Africa
Algeria,1980,58.198,18811199,10166,Middle East & North Africa
Algeria,1981,59.524,19442423,10160,Middle East & North Africa
Algeria,1982,60.826,20095648,10477,Middle East & North Africa
Algeria,1983,62.051,20762767,10696,Middle East & North Africa
Algeria,1984,63.16,21433070,10947,Middle East & North Africa
Algeria,1985,64.12,22098298,11030,Middle East & North Africa
Algeria,1986,64.911,22753511,10722,Middle East & North Africa
Algeria,1987,65.554,23398470,10378,Middle East & North Africa
Algeria,1988,66.072,24035237,9888,Middle East & North Africa
Algeria,1989,66.479,24668100,10115,Middle East & North Africa
Algeria,1990,66.796,25299182,10113,Middle East & North Africa
Algeria,1991,67.049,25930560,9748,Middle East & North Africa
Algeria,1992,67.265,26557969,9693,Middle East & North Africa
Algeria,1993,67.468,27169903,9279,Middle East & North Africa
Algeria,1994,67.674,27751086,9006,Middle East & North Africa
Algeria,1995,67.893,28291591,9168,Middle East & North Africa
Algeria,1996,68.123,28786855,9375,Middle East & North Africa
Algeria,1997,68.35,29242917,9322,Middle East & North Africa
Algeria,1998,68.565,29673694,9646,Middle East & North Africa
Algeria,1999,68.769,30099010,9810,Middle East & North Africa
Algeria,2000,68.963,30533827,9885,Middle East & North Africa
Algeria,2001,69.149,30982214,10203,Middle East & North Africa
Algeria,2002,69.33,31441848,10634,Middle East & North Africa
Algeria,2003,69.508,31913462,11251,Middle East & North Africa
Algeria,2004,69.682,32396048,11575,Middle East & North Africa
Algeria,2005,69.854,32888449,12077,Middle East & North Africa
Algeria,2006,70.02,33391954,12088,Middle East & North Africa
Algeria,2007,70.18,33906605,12289,Middle East & North Africa
Algeria,2008,70.332,34428028,12314,Middle East & North Africa
Algeria,2009,70.477,34950168,12285,Middle East & North Africa
Algeria,2010,70.615,35468208,12494,Middle East & North Africa
Algeria,2011,70.747,35980193,12606,Middle East & North Africa
Algeria,2012,70.874,36485828,12779,Middle East & North Africa
Algeria,2013,71,36983924,12893,Middle East & North Africa
Angola,1964,34.604,5337063,4573,Sub-Saharan Africa
Angola,1965,35.007,5431135,4840,Sub-Saharan Africa
Angola,1966,35.41,5524090,5043,Sub-Saharan Africa
Angola,1967,35.816,5617242,5253,Sub-Saharan Africa
Angola,1968,36.222,5713156,5093,Sub-Saharan Africa
Angola,1969,36.627,5815282,5158,Sub-Saharan Africa
Angola,1970,37.032,5926333,5397,Sub-Saharan Africa
Angola,1971,37.439,6047736,5614,Sub-Saharan Africa
Angola,1972,37.846,6179685,5511,Sub-Saharan Africa
Angola,1973,38.247,6322194,5831,Sub-Saharan Africa
Angola,1974,38.635,6474796,5880,Sub-Saharan Africa
Angola,1975,38.998,6637419,5454,Sub-Saharan Africa
Angola,1976,39.324,6808850,5044,Sub-Saharan Africa
Angola,1977,39.605,6989988,4956,Sub-Saharan Africa
Angola,1978,39.84,7185188,4572,Sub-Saharan Africa
Angola,1979,40.029,7400231,4458,Sub-Saharan Africa
Angola,1980,40.182,7638420,4443,Sub-Saharan Africa
Angola,1981,40.311,7903368,4110,Sub-Saharan Africa
Angola,1982,40.429,8191774,3970,Sub-Saharan Africa
Angola,1983,40.547,8491682,3996,Sub-Saharan Africa
Angola,1984,40.671,8786652,4099,Sub-Saharan Africa
Angola,1985,40.794,9065562,4117,Sub-Saharan Africa
Angola,1986,40.902,9322550,4135,Sub-Saharan Africa
Angola,1987,40.988,9562796,4319,Sub-Saharan Africa
Angola,1988,41.05,9799680,4455,Sub-Saharan Africa
Angola,1989,41.1,10052567,4365,Sub-Saharan Africa
Angola,1990,41.151,10335052,4232,Sub-Saharan Africa
Angola,1991,41.221,10653515,4056,Sub-Saharan Africa
Angola,1992,41.329,11002910,3656,Sub-Saharan Africa
Angola,1993,41.495,11371750,2663,Sub-Saharan Africa
Angola,1994,41.736,11742960,2669,Sub-Saharan Africa
Angola,1995,42.073,12105105,2859,Sub-Saharan Africa
Angola,1996,42.526,12452725,3091,Sub-Saharan Africa
Angola,1997,43.088,12792237,3246,Sub-Saharan Africa
Angola,1998,43.742,13138265,3376,Sub-Saharan Africa
Angola,1999,44.468,13511575,3389,Sub-Saharan Africa
Angola,2000,45.234,13926373,3387,Sub-Saharan Africa
Angola,2001,46.004,14388244,3417,Sub-Saharan Africa
Angola,2002,46.743,14890474,3759,Sub-Saharan Africa
Angola,2003,47.425,15419943,3819,Sub-Saharan Africa
Angola,2004,48.036,15957460,4087,Sub-Saharan Africa
Angola,2005,48.572,16489021,4667,Sub-Saharan Africa
Angola,2006,49.041,17010366,5445,Sub-Saharan Africa
Angola,2007,49.471,17525367,6453,Sub-Saharan Africa
Angola,2008,49.882,18037964,7103,Sub-Saharan Africa
Angola,2009,50.286,18555115,7039,Sub-Saharan Africa
Angola,2010,50.689,19081912,7047,Sub-Saharan Africa
Angola,2011,51.094,19618432,7094,Sub-Saharan Africa
Angola,2012,51.498,20162517,7230,Sub-Saharan Africa
Angola,2013,51.899,20714494,7488,Sub-Saharan Africa
Antigua and Barbuda,1964,63.775,58653,5008,America
Antigua and Barbuda,1965,64.149,59844,5133,America
Antigua and Barbuda,1966,64.511,61032,5262,America
Antigua and Barbuda,1967,64.865,62226,5393,America
Antigua and Barbuda,1968,65.213,63401,5528,America
Antigua and Barbuda,1969,65.558,64528,5666,America
Antigua and Barbuda,1970,65.898,65587,5807,America
Antigua and Barbuda,1971,66.232,66554,6088,America
Antigua and Barbuda,1972,66.558,67419,6378,America
Antigua and Barbuda,1973,66.875,68182,6770,America
Antigua and Barbuda,1974,67.181,68848,6888,America
Antigua and Barbuda,1975,67.479,69420,6458,America
Antigua and Barbuda,1976,67.768,69910,5885,America
Antigua and Barbuda,1977,68.051,70301,6371,America
Antigua and Barbuda,1978,68.328,70533,6691,America
Antigua and Barbuda,1979,68.602,70525,7536,America
Antigua and Barbuda,1980,68.873,70228,8169,America
Antigua and Barbuda,1981,69.141,69639,8689,America
Antigua and Barbuda,1982,69.408,68803,8827,America
Antigua and Barbuda,1983,69.671,67792,9540,America
Antigua and Barbuda,1984,69.931,66701,10388,America
Antigua and Barbuda,1985,70.186,65614,11383,America
Antigua and Barbuda,1986,70.435,64539,12600,America
Antigua and Barbuda,1987,70.675,63510,14027,America
Antigua and Barbuda,1988,70.907,62669,15441,America
Antigua and Barbuda,1989,71.132,62192,16611,America
Antigua and Barbuda,1990,71.351,62202,17154,America
Antigua and Barbuda,1991,71.568,62754,17361,America
Antigua and Barbuda,1992,71.783,63802,17226,America
Antigua and Barbuda,1993,72,65238,17753,America
Antigua and Barbuda,1994,72.219,66895,18400,America
Antigua and Barbuda,1995,72.441,68642,17167,America
Antigua and Barbuda,1996,72.664,70450,17830,America
Antigua and Barbuda,1997,72.888,72322,18186,America
Antigua and Barbuda,1998,73.11,74190,18483,America
Antigua and Barbuda,1999,73.329,75985,18780,America
Antigua and Barbuda,2000,73.544,77656,19319,America
Antigua and Barbuda,2001,73.755,79165,18388,America
Antigua and Barbuda,2002,73.96,80507,18676,America
Antigua and Barbuda,2003,74.16,81716,19566,America
Antigua and Barbuda,2004,74.355,82838,20395,America
Antigua and Barbuda,2005,74.544,83916,21414,America
Antigua and Barbuda,2006,74.729,84952,24016,America
Antigua and Barbuda,2007,74.91,85935,26008,America
Antigua and Barbuda,2008,75.087,86881,25736,America
Antigua and Barbuda,2009,75.263,87802,22389,America
Antigua and Barbuda,2010,75.437,88710,20567,America
Antigua and Barbuda,2011,75.61,89612,19988,America
Antigua and Barbuda,2012,75.783,90510,20577,America
Antigua and Barbuda,2013,75.954,91404,20353,America
Argentina,1964,65.388,21966478,8227,America
Argentina,1965,65.481,22296628,8818,America
Argentina,1966,65.603,22622012,8709,America
Argentina,1967,65.759,22944941,8782,America
Argentina,1968,65.953,23273148,9003,America
Argentina,1969,66.184,23616971,9610,America
Argentina,1970,66.449,23983358,9951,America
Argentina,1971,66.74,24376109,10167,America
Argentina,1972,67.044,24791983,10209,America
Argentina,1973,67.349,25222223,10419,America
Argentina,1974,67.652,25654154,10809,America
Argentina,1975,67.95,26078731,10571,America
Argentina,1976,68.248,26492716,10408,America
Argentina,1977,68.549,26899177,10918,America
Argentina,1978,68.856,27303001,10406,America
Argentina,1979,69.164,27711808,10976,America
Argentina,1980,69.464,28131040,10982,America
Argentina,1981,69.746,28561561,10221,America
Argentina,1982,70.004,29001060,9765,America
Argentina,1983,70.235,29447973,10030,America
Argentina,1984,70.439,29899743,10102,America
Argentina,1985,70.624,30354240,9262,America
Argentina,1986,70.798,30810984,9810,America
Argentina,1987,70.972,31269799,9936,America
Argentina,1988,71.156,31729130,9620,America
Argentina,1989,71.353,32187173,8820,America
Argentina,1990,71.566,32642442,8539,America
Argentina,1991,71.791,33093579,9333,America
Argentina,1992,72.024,33540023,10130,America
Argentina,1993,72.257,33982035,10602,America
Argentina,1994,72.489,34420352,11108,America
Argentina,1995,72.719,34855160,10673,America
Argentina,1996,72.945,35287113,11150,America
Argentina,1997,73.169,35714929,11935,America
Argentina,1998,73.39,36134642,12268,America
Argentina,1999,73.608,36541029,11722,America
Argentina,2000,73.822,36930709,11504,America
Argentina,2001,74.033,37302116,10875,America
Argentina,2002,74.24,37657340,9574,America
Argentina,2003,74.444,38001251,10318,America
Argentina,2004,74.645,38340778,11135,America
Argentina,2005,74.843,38681174,12039,America
Argentina,2006,75.036,39023850,12913,America
Argentina,2007,75.225,39368066,13873,America
Argentina,2008,75.41,39714298,14646,America
Argentina,2009,75.592,40062470,14605,America
Argentina,2010,75.772,40412376,15765,America
Argentina,2011,75.95,40764561,16972,America
Argentina,2012,76.128,41118986,17101,America
Argentina,2013,76.305,41473982,17629,America
Armenia,1964,67.714,2138133,2823,Europe & Central Asia
Armenia,1965,68.151,2204650,2945,Europe & Central Asia
Armenia,1966,68.587,2269475,3051,Europe & Central Asia
Armenia,1967,69.015,2332624,3151,Europe & Central Asia
Armenia,1968,69.425,2394635,3300,Europe & Central Asia
Armenia,1969,69.808,2456370,3313,Europe & Central Asia
Armenia,1970,70.143,2518408,3533,Europe & Central Asia
Armenia,1971,70.411,2580894,3589,Europe & Central Asia
Armenia,1972,70.604,2643464,3571,Europe & Central Asia
Armenia,1973,70.722,2705584,3832,Europe & Central Asia
Armenia,1974,70.774,2766495,3871,Europe & Central Asia
Armenia,1975,70.782,2825650,3810,Europe & Central Asia
Armenia,1976,70.782,2882831,3917,Europe & Central Asia
Armenia,1977,70.797,2938181,3937,Europe & Central Asia
Armenia,1978,70.837,2991954,3964,Europe & Central Asia
Armenia,1979,70.896,3044564,3877,Europe & Central Asia
Armenia,1980,70.936,3096298,3815,Europe & Central Asia
Armenia,1981,70.909,3145885,3783,Europe & Central Asia
Armenia,1982,70.775,3192877,3809,Europe & Central Asia
Armenia,1983,70.518,3239212,3862,Europe & Central Asia
Armenia,1984,70.149,3287588,3840,Europe & Central Asia
Armenia,1985,69.697,3339147,3805,Europe & Central Asia
Armenia,1986,69.204,3396511,3890,Europe & Central Asia
Armenia,1987,68.731,3457054,3872,Europe & Central Asia
Armenia,1988,68.331,3510439,3886,Europe & Central Asia
Armenia,1989,68.037,3542720,3889,Europe & Central Asia
Armenia,1990,67.877,3544695,3736,Europe & Central Asia
Armenia,1991,67.864,3512051,3329,Europe & Central Asia
Armenia,1992,67.979,3449940,1973,Europe & Central Asia
Armenia,1993,68.199,3370373,1842,Europe & Central Asia
Armenia,1994,68.513,3290540,1988,Europe & Central Asia
Armenia,1995,68.91,3223173,2169,Europe & Central Asia
Armenia,1996,69.376,3172185,2333,Europe & Central Asia
Armenia,1997,69.891,3134836,2438,Europe & Central Asia
Armenia,1998,70.43,3109101,2636,Europe & Central Asia
Armenia,1999,70.971,3090624,2740,Europe & Central Asia
Armenia,2000,71.494,3076098,2919,Europe & Central Asia
Armenia,2001,71.981,3065810,3214,Europe & Central Asia
Armenia,2002,72.43,3061067,3654,Europe & Central Asia
Armenia,2003,72.836,3060554,4182,Europe & Central Asia
Armenia,2004,73.192,3062612,4635,Europe & Central Asia
Armenia,2005,73.491,3065954,5297,Europe & Central Asia
Armenia,2006,73.73,3069844,6020,Europe & Central Asia
Armenia,2007,73.92,3074181,6877,Europe & Central Asia
Armenia,2008,74.07,3079087,7383,Europe & Central Asia
Armenia,2009,74.191,3084979,6358,Europe & Central Asia
Armenia,2010,74.291,3092072,6508,Europe & Central Asia
Armenia,2011,74.381,3100236,6812,Europe & Central Asia
Armenia,2012,74.469,3108972,7291,Europe & Central Asia
Armenia,2013,74.561,3117722,7527,Europe & Central Asia
Aruba,1964,67.113,57031,5505,America
Aruba,1965,67.435,57362,5642,America
Aruba,1966,67.762,57714,5783,America
Aruba,1967,68.095,58052,5927,America
Aruba,1968,68.436,58388,6075,America
Aruba,1969,68.784,58725,6227,America
Aruba,1970,69.14,59066,6382,America
Aruba,1971,69.498,59439,6904,America
Aruba,1972,69.851,59849,7470,America
Aruba,1973,70.192,60238,8084,America
Aruba,1974,70.519,60524,8756,America
Aruba,1975,70.834,60654,9493,America
Aruba,1976,71.14,60589,10305,America
Aruba,1977,71.441,60366,11197,America
Aruba,1978,71.737,60108,12166,America
Aruba,1979,72.023,59980,13194,America
Aruba,1980,72.294,60099,14273,America
Aruba,1981,72.539,60570,15377,America
Aruba,1982,72.752,61347,16508,America
Aruba,1983,72.929,62208,17725,America
Aruba,1984,73.071,62833,19124,America
Aruba,1985,73.181,63030,20789,America
Aruba,1986,73.262,62645,22827,America
Aruba,1987,73.325,61830,26876,America
Aruba,1988,73.378,61069,32328,America
Aruba,1989,73.425,61026,36284,America
Aruba,1990,73.468,62147,37014,America
Aruba,1991,73.509,64642,38310,America
Aruba,1992,73.544,68286,38238,America
Aruba,1993,73.573,72573,38477,America
Aruba,1994,73.598,76762,39318,America
Aruba,1995,73.622,80323,38602,America
Aruba,1996,73.645,83069,38003,America
Aruba,1997,73.669,85161,40312,America
Aruba,1998,73.697,86827,42565,America
Aruba,1999,73.734,88442,42564,America
Aruba,2000,73.783,90271,43703,America
Aruba,2001,73.852,92363,42445,America
Aruba,2002,73.94,94596,40288,America
Aruba,2003,74.048,96875,39246,America
Aruba,2004,74.175,99046,41057,America
Aruba,2005,74.316,100996,40737,America
Aruba,2006,74.467,102711,40209,America
Aruba,2007,74.621,104225,40558,America
Aruba,2008,74.772,105526,38594,America
